           * c:\users\samyuktha\esim-workspace\flashadc\flashadc.cir
           Transient Analysis  Thu Mar 10 11:38:32  2022
--------------------------------------------------------------------------------
Index   time            +5v             ?               input           
--------------------------------------------------------------------------------
0	0.000000e+00	4.201338e-07	1.435766e-11	-1.00000e+00	
1	1.000000e-03	4.201188e-07	1.435738e-11	-1.00010e+00	
2	1.432341e-03	4.201279e-07	1.435734e-11	-1.00014e+00	
3	2.297023e-03	4.201340e-07	1.435727e-11	-1.00023e+00	
4	4.026387e-03	4.201382e-07	1.435724e-11	-1.00040e+00	
5	7.485115e-03	4.201297e-07	1.435732e-11	-1.00075e+00	
6	1.440257e-02	4.201370e-07	1.435748e-11	-1.00144e+00	
7	2.823748e-02	4.201293e-07	1.435758e-11	-1.00282e+00	
8	5.590731e-02	4.201384e-07	1.435760e-11	-1.00559e+00	
9	1.112470e-01	4.201286e-07	1.435758e-11	-1.01112e+00	
10	2.112470e-01	4.201382e-07	1.435758e-11	-1.02112e+00	
11	3.112470e-01	4.201288e-07	1.435756e-11	-1.03112e+00	
12	4.112470e-01	4.201379e-07	1.435755e-11	-1.04112e+00	
13	5.112470e-01	4.201287e-07	1.435753e-11	-1.05112e+00	
14	6.112470e-01	4.201376e-07	1.435753e-11	-1.06112e+00	
15	7.112470e-01	4.201285e-07	1.435751e-11	-1.07112e+00	
16	8.112470e-01	4.201375e-07	1.435750e-11	-1.08112e+00	
17	9.112470e-01	4.201285e-07	1.435748e-11	-1.09112e+00	
18	1.011247e+00	4.201373e-07	1.435748e-11	-1.10112e+00	
19	1.111247e+00	4.201283e-07	1.435746e-11	-1.11112e+00	
20	1.211247e+00	4.201370e-07	1.435745e-11	-1.12112e+00	
21	1.311247e+00	4.201283e-07	1.435743e-11	-1.13112e+00	
22	1.411247e+00	4.201369e-07	1.435743e-11	-1.14112e+00	
23	1.511247e+00	4.201282e-07	1.435741e-11	-1.15112e+00	
24	1.611247e+00	4.201365e-07	1.435740e-11	-1.16112e+00	
25	1.711247e+00	4.201283e-07	1.435738e-11	-1.17112e+00	
26	1.811247e+00	4.201362e-07	1.435738e-11	-1.18112e+00	
27	1.911247e+00	4.201283e-07	1.435736e-11	-1.19112e+00	
28	2.011247e+00	4.201360e-07	1.435735e-11	-1.20112e+00	
29	2.111247e+00	4.201281e-07	1.435733e-11	-1.21112e+00	
30	2.211247e+00	4.201357e-07	1.435733e-11	-1.22112e+00	
31	2.311247e+00	4.201283e-07	1.435731e-11	-1.23112e+00	
32	2.411247e+00	4.201353e-07	1.435730e-11	-1.24112e+00	
33	2.511247e+00	4.201283e-07	1.435728e-11	-1.25112e+00	
34	2.611247e+00	4.201350e-07	1.435728e-11	-1.26112e+00	
35	2.711247e+00	4.201283e-07	1.435726e-11	-1.27112e+00	
36	2.811247e+00	4.201348e-07	1.435725e-11	-1.28112e+00	
37	2.911247e+00	4.201283e-07	1.435723e-11	-1.29112e+00	
38	3.011247e+00	4.201346e-07	1.435722e-11	-1.30112e+00	
39	3.111247e+00	4.201281e-07	1.435721e-11	-1.31112e+00	
40	3.211247e+00	4.201343e-07	1.435720e-11	-1.32112e+00	
41	3.311247e+00	4.201282e-07	1.435718e-11	-1.33112e+00	
42	3.411247e+00	4.201340e-07	1.435717e-11	-1.34112e+00	
43	3.511247e+00	4.201281e-07	1.435716e-11	-1.35112e+00	
44	3.611247e+00	4.201337e-07	1.435715e-11	-1.36112e+00	
45	3.711247e+00	4.201282e-07	1.435713e-11	-1.37112e+00	
46	3.811247e+00	4.201335e-07	1.435712e-11	-1.38112e+00	
47	3.911247e+00	4.201282e-07	1.435711e-11	-1.39112e+00	
48	4.011247e+00	4.201332e-07	1.435710e-11	-1.40112e+00	
49	4.111247e+00	4.201280e-07	1.435708e-11	-1.41112e+00	
50	4.211247e+00	4.201330e-07	1.435707e-11	-1.42112e+00	
51	4.311247e+00	4.201281e-07	1.435706e-11	-1.43112e+00	
52	4.411247e+00	4.201329e-07	1.435705e-11	-1.44112e+00	
53	4.511247e+00	4.201279e-07	1.435703e-11	-1.45112e+00	
54	4.611247e+00	4.201325e-07	1.435702e-11	-1.46112e+00	

Index   time            +5v             ?               input           
--------------------------------------------------------------------------------
55	4.711247e+00	4.201279e-07	1.435701e-11	-1.47112e+00	
56	4.811247e+00	4.201324e-07	1.435700e-11	-1.48112e+00	
57	4.911247e+00	4.201277e-07	1.435698e-11	-1.49112e+00	
58	5.011247e+00	4.201321e-07	1.435697e-11	-1.50112e+00	
59	5.111247e+00	4.201277e-07	1.435696e-11	-1.51112e+00	
60	5.211247e+00	4.201319e-07	1.435695e-11	-1.52112e+00	
61	5.311247e+00	4.201277e-07	1.435693e-11	-1.53112e+00	
62	5.411247e+00	4.201316e-07	1.435692e-11	-1.54112e+00	
63	5.511247e+00	4.201277e-07	1.435690e-11	-1.55112e+00	
64	5.611247e+00	4.201314e-07	1.435690e-11	-1.56112e+00	
65	5.711247e+00	4.201277e-07	1.435688e-11	-1.57112e+00	
66	5.811247e+00	4.201309e-07	1.435687e-11	-1.58112e+00	
67	5.911247e+00	4.201277e-07	1.435685e-11	-1.59112e+00	
68	6.011247e+00	4.201308e-07	1.435685e-11	-1.60112e+00	
69	6.111247e+00	4.201276e-07	1.435683e-11	-1.61112e+00	
70	6.211247e+00	4.201305e-07	1.435682e-11	-1.62112e+00	
71	6.311247e+00	4.201275e-07	1.435680e-11	-1.63112e+00	
72	6.411247e+00	4.201305e-07	1.435679e-11	-1.64112e+00	
73	6.511247e+00	4.201274e-07	1.435678e-11	-1.65112e+00	
